"PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD"
4207452,1980,7466,1978,"JP","",581270,3,15,219,4,49,10,29,1,0.5541,0.76,8.8966,7.8,0,0,0.0455,0.0345
5805179,1998,14130,1997,"US","NY",635240,2,24,347,2,23,11,0,1,,0.6777,,6.7273,0.1818,0.1818,,
4298004,1981,7977,1979,"US","TX",,1,11,128,3,32,5,25,0.8,0.6624,0.625,12.96,16.6,,,,
4850607,1989,10798,1987,"US","CA",,1,36,280,5,55,13,24,0.9231,0.5521,0.7222,5.4583,9.1538,,,,
3621848,1971,4344,1969,"US","PA",,1,,604,3,32,,1,,0,,14,,,,,
5362671,1994,12730,1994,"US","MA",319760,2,25,438,4,46,56,4,1,0.625,0.7334,1,5.4286,0.0357,0.0357,0.3333,0.25
4095227,1978,6738,1976,"US","CA",597270,6,10,343,2,21,3,7,1,0.2449,0,12.2857,7,1,0.3333,0.2857,0.2857
3415673,1968,3266,1964,"US","MI",,2,,428,6,69,,15,,0.6844,,10.6,,,,,
3913300,1975,5772,1974,"US","OH",98135,2,16,53,6,68,10,8,0.8,0.5938,0.4688,6.625,11.2,0,0,0,0
4731191,1988,10301,1985,"US","MI",153465,2,9,252,1,19,7,3,1,0.6667,0.6122,6,5.8571,0.4286,0.4286,0.5,0.3333
5854313,1998,14242,1997,"JP","",559270,3,12,523,1,15,13,0,1,,0.8284,,15.7692,0,0,,
5592532,1997,13521,1994,"JP","",87490,3,44,455,2,21,22,5,1,0,0.562,2,7.3636,0,0,0,0
5581513,1996,13486,1995,"US","TX",105280,2,21,365,2,24,5,3,1,0.4444,0.32,1,6,0.25,0.2,0.6667,0.6667
3439425,1969,3399,1967,"GB","",69760,3,,33,6,69,,3,,0.6667,,14.6667,,,,0,0
4156265,1979,7081,1977,"US","OH",,1,21,361,4,45,7,5,0.8571,0.32,0.7778,12,10.7143,,,,
3797996,1974,5191,1971,"US","SC",596750,2,,8,1,11,,6,,0.5,,10.5,,,,0,0
3678205,1972,4582,1971,"US","MA",234550,2,,370,2,21,,26,,0.2751,,7.9231,,,,0.0385,0.0385
4461862,1984,8971,1981,"CH","",,1,11,524,1,15,13,6,0.9231,0.5,0.6944,13.1667,9,,,,
4974203,1990,11288,1988,"JP","",581270,3,9,365,2,24,5,3,1,0,0,5,3.6,0,0,0,0
5781237,1998,14074,1995,"JP","",358975,3,11,348,4,49,4,3,1,0.4444,0.375,2.3333,4,0.25,0.25,0,0
4624165,1986,9825,1984,"DE","",92890,3,19,83,5,51,6,5,1,0.48,0.6111,8,16.8333,0,0,0,0
5605510,1997,13570,1995,"US","CA",84755,2,12,473,6,62,63,3,0.8095,0,0.2184,1.6667,22.6349,0.0769,0.0317,0,0
4707618,1987,10182,1986,"US","AZ",,1,18,307,4,49,28,9,1,0.8395,0.0689,4.7778,7.6071,,,,
4697999,1987,10140,1985,"DE","",,1,12,418,5,53,3,0,0.3333,,0,,40.3333,,,,
3531394,1970,3924,1968,"US","NJ",186590,2,,208,1,19,,42,,0.4286,,22.4524,,,,0,0
5347433,1994,12674,1992,"US","AZ",,1,20,362,4,42,92,11,1,0.6446,0.771,3.3636,7.2609,,,,
5120683,1992,11848,1991,"US","OH",595190,2,6,501,1,19,10,3,1,0.4444,0.32,2,5.4,0,0,0,0
4164816,1979,7172,1977,"SE","",,1,9,33,6,69,6,12,0.6667,0.5139,0.375,9.3333,10,,,,
4149279,1979,7046,1977,"US","NY",,1,18,206,6,68,4,15,0.5,0.5867,0,7.5333,11.25,,,,
4287698,1981,7921,1979,"CH","",,1,1,52,6,69,3,4,1,0,0.4444,8.25,13.6667,,,,
3877773,1975,5583,1973,"US","NC",28145,2,5,439,4,41,2,12,0.5,0,0,12.3333,10,0,0,0.4167,0.4167
3941875,1976,5905,1973,"JP","",404970,3,4,423,1,19,3,8,0.3333,0.5625,0,11,37.6667,0,0,0,0
5260512,1993,12366,1992,"FR","",570160,2,28,84,6,69,9,9,1,0.7654,0.6914,3.1111,5.3333,0,0,0,0
4927989,1990,11099,1989,"JP","",379245,3,12,200,4,41,6,2,1,0.5,0.7778,5,7.8333,0.6667,0.6667,0,0
3819675,1974,5289,1973,"US","MI",153465,2,,556,1,14,,19,,0.7258,,10.4737,,,,0.3684,0.3684
5356116,1994,12709,1993,"US","KS",705609,2,15,251,5,53,10,0,1,,0.48,,13.2,0,0,,
4238777,1980,7648,1979,"JP","",562165,3,8,386,4,49,1,3,1,0.4444,0,4.6667,9,0,0,0,0
5545450,1996,13374,1994,"US","CA",165841,2,106,428,6,69,333,9,0.9189,0.3704,0.8623,1.5556,13.9279,0.008,0.006,0.75,0.6667
4235015,1980,7634,1979,"US","IL",382575,2,6,29,5,52,4,21,1,0.0907,0,5.8095,2,0,0,0.3684,0.3333
5152412,1992,11967,1990,"US","IL",120625,2,15,215,6,68,14,1,0.8571,0,0.5139,5,14.7143,0.25,0.1429,0,0
5962731,1999,14522,1995,"US","CA",719567,2,,562,1,14,18,0,0.9444,,0.8512,,14.3889,0,0,,
5525015,1996,13311,1994,"JP","",324740,3,12,406,5,59,2,1,1,0,0,3,3.5,0.5,0.5,0,0
3890937,1975,5653,1974,"US","MI",219155,2,2,123,5,53,4,0,0.75,,0.4444,,15,1,0.5,,
4187245,1980,7340,1978,"US","MO",437205,2,11,562,1,14,5,3,0.6,0,0.4444,11.3333,16.2,0,0,1,1
4984914,1991,11337,1989,"US","CA",,1,2,400,5,59,20,1,0.65,0,0.3787,1,24.7,,,,
5215130,1993,12205,1992,"JP","",,1,8,141,5,51,20,3,0.75,0.6667,0.7556,4.3333,20.45,,,,
5165266,1992,12016,1991,"US","PA",281915,2,23,72,5,52,26,1,0.6923,0,0.1049,7,20.5,0,0,0,0
4551681,1985,9440,1983,"US","CO",597250,6,17,324,4,43,8,4,0.625,0.625,0,7.25,17.5,0,0,0,0
4872008,1989,10868,1987,"JP","",358975,3,7,341,2,22,6,7,1,0.6122,0.5,5,2.8333,0,0,0,0
3880368,1975,5597,1973,"US","MA",58965,2,16,241,5,51,9,6,0.6667,0,0.6667,22.6667,12.4444,0.25,0.1111,0,0
5398560,1995,12863,1993,"US","GA",597195,6,17,73,4,43,19,4,1,0.625,0.7922,3,9.6842,0.0588,0.0526,0.25,0.25
5822318,1998,14165,1994,"US","CA",460225,2,65,370,2,21,26,1,1,0,0.6834,3,10.6154,0.2083,0.1923,0,0
4933879,1990,11120,1988,"JP","",211480,3,4,345,2,23,3,13,1,0.2604,0,4.6154,2,0,0,0,0
5675524,1997,13794,1995,"US","CA",718731,2,1,708,2,22,14,3,1,0.6667,0.8265,1.6667,5.9286,0,0,0,0
4983115,1991,11330,1988,"JP","",379245,3,4,425,5,51,7,3,1,0.4444,0.6122,7,15.8571,0,0,0,0
5979930,1999,14557,1997,"DE","",727393,3,,280,5,55,5,0,1,,0,,7.6,0,0,,
4439995,1984,8859,1982,"US","KY",218550,2,6,62,6,69,11,7,0.6364,0.2449,0.2449,7.8571,18.7273,0.4,0.1818,0,0
4542225,1985,9391,1984,"US","MA",134480,2,20,548,1,14,6,11,0.8333,0.7273,0.72,6.8182,13.1667,0,0,0,0
3761091,1973,5016,1971,"US","MA",,1,,273,6,62,,2,,0,,15.5,,,,,
4654728,1987,9951,1985,"US","CA",,1,6,360,2,24,10,9,0.7,0.642,0.6122,7,18.2,,,,
3155975,1964,1768,,"US","CA",,2,,343,2,21,,12,,0.2917,,,,,,,
4334317,1982,8194,1980,"GB","",386735,2,9,455,2,21,4,6,0.75,0,0,6.3333,14.5,0.5,0.25,0.6667,0.6667
5519884,1996,13290,1993,"DE","",601715,2,6,455,2,21,4,2,1,0.5,0,3,2.75,0,0,0,0
4551373,1985,9440,1983,"US","NY",,1,4,428,6,69,13,24,0.5385,0.5243,0.6939,7.8333,25,,,,
4869509,1989,10861,1988,"US","HI",,1,6,473,6,62,11,18,0.9091,0.5864,0.74,5.5556,8.1818,,,,
3138777,1964,1635,,"US","NJ",,1,,338,4,41,,2,,0.5,,,,,,,
5512325,1996,13269,1995,"US","PA",691546,2,7,427,1,12,11,3,1,0,0.595,2.3333,11.8182,0,0,0,0
3979994,1976,6101,1975,"BE","",92420,2,3,411,5,59,15,5,0.6,0.48,0.716,9.4,30.0667,0,0,0,0
4080564,1978,6654,1976,"JP","",358975,3,10,324,4,43,6,34,0.8333,0.7976,0.64,6.2353,7,0.3333,0.1667,0.2121,0.2059
3974312,1976,6066,1975,"US","GA",427855,2,28,428,6,69,1,6,1,0.5,0,9,2,0,0,0,0
5623906,1997,13633,1996,"US","MI",204110,2,4,123,5,53,23,4,1,0.375,0.3062,1.25,8.8696,0.0455,0.0435,0,0
5945592,1999,14487,1998,"US","CA",589355,2,,73,4,43,4,0,1,,0.625,,8.75,0,0,,
5464303,1995,13094,1993,"US","FL",715798,2,42,404,6,69,22,3,0.8182,0,0.4568,3,23.5455,0,0,0,0
4456413,1984,8943,1982,"US","PA",79845,2,6,410,5,55,6,29,0.5,0.1902,0.4444,6.6897,23.8333,0,0,0.037,0.0345
5887753,1999,14333,1996,"BE","",454215,2,,222,1,19,8,0,0.875,,0.6939,,12.125,0.6,0.375,,
4186362,1980,7333,1977,"JP","",358985,3,9,335,4,41,4,9,1,0.5679,0,11.2222,8,0,0,0,0
3890885,1975,5653,1973,"GB","",,1,11,92,5,53,5,3,0.4,0.4444,0.5,12.3333,12.6,,,,
4974607,1990,11295,1988,"JP","",,1,2,600,3,32,5,36,1,0.6636,0,5.8889,12.2,,,,
5016811,1991,11463,1990,"SE","",,1,10,206,6,68,8,2,1,0,0.6563,3,15.25,,,,
3328595,1967,2734,1964,"US","CA",,6,,250,4,44,,10,,0.6,,17.2,,,,,
5479640,1995,13143,1993,"US","NY",280070,2,12,711,2,24,19,3,1,0.4444,0.7258,2.6667,4.4737,0.2105,0.2105,0,0
5927177,1999,14452,1998,"US","MN",579560,2,,92,5,53,18,0,0.7222,,0.6746,,30.9444,0,0,,
5482201,1996,13157,1994,"DE","",,1,18,228,5,52,5,0,1,,0.72,,12.8,,,,
4904404,1990,11015,1989,"US","NY",569900,2,27,508,5,59,9,8,0.8889,0.375,0.4063,6.625,9.8889,0.375,0.3333,0,0
4842091,1989,10770,1987,"US","CA",,1,8,180,5,55,5,6,1,0.4444,0.56,7.3333,10.4,,,,
5110393,1992,11813,1990,"JP","",531310,3,10,156,1,19,4,3,1,0,0.625,4,12.75,0.6667,0.5,0,0
5361699,1994,12730,1993,"DE","",246180,3,15,101,6,69,7,8,0.7143,0,0.56,2.125,17.2857,0,0,0.875,0.875
5959679,1999,14515,1997,"JP","",480860,3,,348,4,49,5,0,1,,0.56,,3,0,0,,
5336938,1994,12639,1992,"US","CA",132165,2,13,327,4,41,4,7,1,0.6122,0.75,3.5714,2.25,0,0,0.7143,0.7143
3777113,1973,5086,1972,"JP","",317185,3,,219,4,49,,3,,0.4444,,3,,,,0,0
4760605,1988,10434,1986,"GB","",532110,3,14,382,2,22,8,19,1,0.7812,0.4063,4.5789,1.625,0,0,0.1111,0.1053
5556670,1996,13409,1995,"JP","",91775,3,5,428,6,69,5,6,1,0,0.56,1.5,7.8,0,0,0,0
5551930,1996,13395,1995,"US","IL",92420,2,17,477,5,53,86,4,1,0.375,0.6671,1.5,5.3605,0.0233,0.0233,0.25,0.25
4568912,1986,9531,1983,"JP","",610235,3,10,704,2,22,4,18,1,0.7469,0.625,4,8.5,0.3333,0.25,0,0
5415115,1995,12919,1993,"JP","",401385,3,11,111,6,61,10,1,1,0,0.34,3,13.3,0,0,0,0
4684170,1987,10077,1985,"US","FL",332440,2,5,297,6,65,19,3,0.3684,0.6667,0.6939,5.3333,49.0526,0,0,0,0
4964603,1990,11253,1988,"GB","",267480,3,3,248,6,69,13,4,0.0769,0.625,0,6.5,56.6154,0,0,0,0
3317746,1967,2678,1963,"US","TX",,2,,327,4,41,,8,,0.2188,,13.25,,,,,
5194237,1993,12128,1991,"CA","",393885,3,15,423,1,19,3,1,0.6667,0,0,4,30,0,0,0,0
4729089,1988,10287,1985,"US","NY",90590,2,3,700,2,22,5,3,1,0.4444,0.72,4.3333,5.6,0,0,0,0
3453587,1969,3469,1966,"CH","",388770,3,,439,4,41,,28,,0.3673,,16.8571,,,,0.1071,0.1071
3222688,1965,2174,,"US","NY",,2,,2,6,63,,3,,0.4444,,,,,,,
5108198,1992,11806,1990,"JP","",252865,3,13,384,5,59,6,7,1,0.8163,0.6667,4.4286,5.1667,0.1667,0.1667,0.2857,0.2857
4900628,1990,11001,1987,"JP","",714593,3,3,428,6,69,1,26,1,0.6183,0,6.1923,2,0,0,0,0
5662882,1997,13759,1995,"US","MO",350355,2,7,424,3,31,15,0,1,,0.1244,,9.4,0.1333,0.1333,,
5573145,1996,13465,1994,"US","IL",725485,2,42,222,1,19,19,1,0.4737,0,0.6173,2,33.8947,0,0,0,0
5999688,1999,14585,1996,"US","CA",735490,2,,386,4,49,56,0,0.9286,,0.605,,14.5536,0.0541,0.0357,,
4290911,1981,7935,1979,"US","ME",202675,2,8,204,1,19,6,12,0.6667,0.6111,0.625,11.75,15.1667,0,0,0.1667,0.1667
5679007,1997,13808,1995,"FR","",497435,3,16,439,4,41,5,2,0.8,0,0.375,1,10.2,0,0,0,0
5014128,1991,11449,1989,"US","CA",44245,2,12,348,4,49,4,14,1,0.4898,0,5.5,3.75,0,0,0,0
4037300,1977,6416,1976,"US","CA",519145,2,7,29,5,52,9,3,0.5556,0.4444,0.32,13.3333,13,0.25,0.1111,0.6667,0.6667
4014114,1977,6297,1975,"US","IL",574635,2,11,36,6,63,4,11,0.75,0,0,20.3636,7.5,0,0,0,0
4046260,1977,6458,1975,"US","OH",362185,2,10,211,6,65,5,2,0.6,0,0,15,24.4,0,0,0,0
3694198,1972,4652,1971,"US","MA",453700,2,,148,5,52,,3,,0.4444,,13.3333,,,,0.5,0.3333
4174665,1979,7263,1977,"DE","",271495,3,11,102,1,19,7,0,0.8571,,0,,8.5714,0,0,,
3382343,1968,3049,1964,"US","CA",,1,,219,4,49,,19,,0.7645,,20.2632,,,,,
4700729,1987,10154,1985,"US","FL",630375,2,18,134,6,69,30,9,0.6667,0.3457,0.6,7.2222,23.7333,0,0,0,0
5254033,1993,12345,1992,"LU","",219155,2,7,454,5,59,9,2,0.6667,0.5,0.5,3.5,20.6667,0,0,0,0
3929961,1975,5842,1973,"GB","",596700,7,3,423,1,19,3,1,1,0,0.4444,13,7.3333,0,0,0,0
4197997,1980,7410,1978,"US","MI",204110,2,6,239,5,59,6,16,0.1667,0.2266,0,10.1875,26.8333,0,0,0,0
3489372,1970,3665,1967,"US","MD",597270,6,,244,5,55,,3,,0,,13,,,,0,0
5594726,1997,13528,1994,"US","GA",499570,2,113,370,2,21,39,16,0.9744,0.8203,0.6136,2,10.1795,0.0323,0.0256,0.0625,0.0625
5851070,1998,14235,1996,"US","NY",734975,2,45,383,6,68,58,0,1,,0.821,,5.4828,0.0351,0.0345,,
5227256,1993,12247,1991,"US","IL",275350,2,38,429,4,45,23,9,0.9565,0.1975,0.2479,4,11.6522,0.381,0.3478,0.2222,0.2222
3929180,1975,5842,1974,"JP","",565235,3,5,152,5,55,5,11,1,0.595,0.64,9.9091,3,0,0,0,0
4218203,1980,7536,1979,"US","OH",600480,2,1,425,5,51,5,3,1,0.6667,0.56,4,8.8,0,0,0,0
5376159,1994,12779,1993,"US","TX",391745,2,12,71,1,11,2,1,0.5,0,0,3,27.5,0,0,0,0
5489089,1996,13185,1994,"US","IN",718005,2,24,269,6,69,14,1,1,0,0.7245,1,8.7143,0,0,0,0
4895838,1990,10980,1988,"US","MA",72120,2,22,514,3,31,4,8,1,0.5313,0.375,4.625,7,0,0,0,0
4345824,1982,8271,1980,"FR","",180585,3,7,351,3,39,3,2,1,0,0,2.5,7.6667,0,0,1,0.5
5319515,1994,12576,1991,"GB","",465625,3,10,361,4,45,20,6,1,0.2778,0.27,4.3333,10.1,0,0,0.2,0.1667
4953371,1990,11204,1989,"US","CO",,1,3,70,6,65,10,8,0.5,0,0.32,3.875,39.3,,,,
4707669,1987,10182,1986,"JP","",358975,3,12,331,4,41,1,4,1,0.375,0,5,3,0,0,0.3333,0.25
3975512,1976,6073,1974,"US","IL",599595,2,13,424,3,31,6,48,0.6667,0.6927,0.375,17.3542,10.8333,0,0,0.0217,0.0208
5307257,1994,12534,1993,"JP","",358975,3,11,363,4,45,4,5,1,0.72,0.375,2.4,16,0,0,0,0
4178858,1979,7291,1977,"IT","",30990,3,11,108,6,69,6,4,0.5,0.375,0.4444,11,30.1667,0,0,0,0
5486197,1996,13171,1994,"US","NJ",182890,2,15,606,3,32,42,25,0.9762,0.0768,0.4795,1.84,7.2143,0,0,0,0
3927988,1975,5835,1973,"US","OH",438920,2,7,23,1,19,6,1,0.1667,0,0,17,22.8333,0,0,0,0
4940259,1990,11148,1989,"US","GA",540405,2,20,285,6,67,47,2,0.234,0,0.5124,7,45.6809,0,0,0,0
5931487,1999,14459,1997,"DE","",,1,,280,5,55,7,0,1,,0.4082,,17.8571,,,,
5227107,1993,12247,1992,"US","GA",313200,2,38,264,5,51,28,19,0.75,0.6537,0.7982,3.1053,15.1429,0.3158,0.2143,0.2632,0.2632
3541205,1970,3973,1966,"US","MI",153465,2,,424,3,31,,12,,0.5139,,21.9167,,,,0.1111,0.0833
4653835,1987,9951,1986,"DE","",197990,3,8,439,4,41,3,10,0.6667,0.66,0.5,5.3,20.6667,0,0,0,0
5453588,1995,13052,1993,"US","MI",287565,2,51,200,4,41,34,3,1,0,0.218,3.3333,12.6471,0,0,0,0
4991785,1991,11365,1990,"TW","",378330,3,4,242,5,51,4,0,1,,0,,18.5,0,0,,
5283500,1994,12450,1992,"US","NJ",706518,2,23,315,4,42,2,95,1,0.7461,0.5,3.4737,4.5,0,0,0.0211,0.0211
5024076,1991,11491,1989,"US","MN",,1,15,72,5,52,2,1,1,0,0.5,3,8.5,,,,
4604622,1986,9713,1983,"FR","",682568,3,7,342,2,21,11,2,0.8182,0,0.1975,6,13.1818,0.1111,0.0909,0,0
3409027,1968,3231,1965,"US","VA",,2,,131,6,61,,13,,0,,15.0769,,,,,
5011277,1991,11442,1990,"JP","",252865,3,26,353,5,54,2,15,1,0.6844,0.5,3.0667,4,1,0.5,0.2308,0.2
4831583,1989,10728,1986,"US","TX",280070,2,15,707,2,22,12,14,1,0.5306,0.6806,4.5,4.8333,0.75,0.75,0.2857,0.2857
4201497,1980,7431,1978,"AT","",38910,3,10,405,6,64,5,4,0.8,0.625,0.625,11.25,14.8,0,0,0,0
5523457,1996,13304,1995,"US","CT",76070,2,18,560,1,14,1,17,1,0.7682,0,2.0588,7,0,0,0,0
4700921,1987,10154,1986,"US","MO",,1,5,248,6,69,10,3,0.7,0.4444,0.6122,6.6667,13.2,,,,
3877764,1975,5583,1973,"US","VT",,1,2,312,6,65,8,12,0.5,0.8472,0.375,14.9167,22.5,,,,
4648854,1987,9930,1984,"US","MN",520275,2,1,474,5,53,5,2,0.4,0,0,8,30.4,0,0,0,0
3979926,1976,6101,1975,"FI","",424775,3,6,66,6,63,3,0,0.6667,,0,,36.6667,0,0,,
5983453,1999,14564,1998,"JP","",760943,3,,16,5,59,8,0,0.875,,0.4898,,13.25,0,0,,
5505031,1996,13248,1994,"US","CA",719431,2,46,52,6,69,98,1,0.551,0,0.2071,2,38.5816,0,0,0,0
5670303,1997,13780,1995,"GB","",160890,2,10,430,1,19,6,0,1,,0,,16.8333,0,0,,
5431366,1995,12975,1994,"JP","",550270,3,20,249,6,69,3,2,1,0.5,0.4444,1.5,12.3333,0,0,0,0
5276478,1994,12422,1992,"US","NY",160890,2,33,355,5,54,38,30,1,0.8622,0.8712,3.0333,5.8947,0.0857,0.0789,0.3793,0.3667
5366661,1994,12744,1992,"JP","",307075,3,10,516,1,19,13,1,0.3846,0,0.48,3,42.3077,0,0,0,0
4334660,1982,8201,1979,"US","VA",,1,7,248,6,69,8,1,0.375,0,0.4444,10,62.375,,,,
5851093,1998,14235,1997,"US","NC",310235,2,20,409,5,51,12,0,1,,0.4028,,9.5,0.3333,0.3333,,
3386123,1968,3077,1966,"US","NY",,2,,15,6,69,,9,,0.3457,,21.8889,,,,,
4463281,1984,8978,1981,"DE","",430730,3,12,313,4,42,3,7,0.6667,0,0,11.2857,26.6667,0,0,0.3333,0.2857
4655771,1987,9958,1983,"CH","",509095,3,12,623,3,39,7,289,1,0.6903,0.6939,10.8927,10.4286,0,0,0,0
5775390,1998,14067,1996,"GB","",,1,31,141,5,51,8,0,1,,0.6563,,14.125,,,,
3660488,1972,4505,1965,"US","OK",438920,2,,564,1,14,,3,,0.4444,,23.3333,,,,0,0
3831233,1974,5352,1972,"US","SC",475150,2,,28,6,63,,4,,0.75,,17,,,,0,0
3701510,1972,4687,1970,"US","CA",,1,,254,5,59,,4,,0.625,,13.25,,,,,
3609227,1971,4288,1968,"US","CA",28105,2,,386,4,49,,17,,0.7889,,12.7647,,,,0,0
3320698,1967,2699,1965,"US","NY",,1,,49,5,59,,12,,0.6806,,24.5833,,,,,
5878672,1999,14312,1997,"US","GA",,1,,108,6,69,20,2,0.85,0.5,0.7751,0.5,16.3,,,,
4278523,1981,7865,1979,"GB","",268215,3,16,204,1,19,11,5,0.7273,0,0,2.4,17.3636,0.25,0.1818,0.2,0.2
5889602,1999,14333,1996,"US","AZ",386735,2,,359,5,54,9,0,1,,0.8889,,9.4444,0,0,,
5950183,1999,14494,1997,"JP","",318570,3,,706,2,22,6,0,1,,0.7222,,4.3333,0,0,,
4870004,1989,10861,1984,"US","CA",47855,2,12,204,1,19,5,9,1,0.5926,0.32,10,5.2,0,0,0,0
3625918,1971,4358,1968,"CH","",104255,3,,528,1,15,,11,,0.6942,,15.7273,,,,0,0
4997991,1991,11386,1990,"US","DE",248780,2,16,585,1,19,5,1,1,0,0.32,3,14.8,0.2,0.2,0,0
4157587,1979,7095,1977,"US","MA",256585,2,20,711,2,24,8,26,1,0.6568,0.2188,9,5.625,0.125,0.125,0.12,0.1154
4064603,1977,6570,1976,"US","MI",215440,2,20,24,6,63,6,11,1,0.314,0.2778,7.9091,5.6667,0,0,0.2,0.1818
4064205,1977,6563,1974,"US","CT",341445,2,4,430,1,19,11,23,0.6364,0.8015,0.8163,15.8696,9.2727,0,0,0,0
5872042,1999,14291,1996,"TW","",558655,3,,438,4,46,9,1,1,0,0,1,6,0,0,1,1
4406509,1983,8670,1981,"US","PA",165265,2,4,439,4,41,4,23,1,0.0832,0,7.6522,5,0,0,0,0
4677585,1987,10042,1985,"JP","",211480,3,8,707,2,22,10,17,1,0.7266,0.68,4.2941,5.9,0.1111,0.1,0,0
5535838,1996,13346,1994,"US","TX",519145,2,20,175,6,64,14,4,1,0.625,0.7245,2.75,8.5,0.3077,0.2857,0.3333,0.25
4223276,1980,7564,1979,"JP","",581270,3,6,330,4,41,1,5,1,0.32,0,5.4,1,0,0,0.6,0.6
4716180,1987,10224,1984,"US","NE",313065,2,6,514,3,31,5,2,0.6,0.5,0.6667,9,20.2,0,0,0,0
5100890,1992,11778,1989,"DE","",254145,3,7,514,3,31,11,1,1,0,0.5455,3,8.9091,0.0909,0.0909,0,0
5750158,1998,14011,1994,"US","OH",773211,2,7,425,5,51,21,0,0.9524,,0.575,,18.8571,0,0,,
4742488,1988,10350,1986,"US","CA",8075,2,6,365,2,24,4,5,1,0.56,0.375,1.6,9.5,0.25,0.25,0.2,0.2
4979961,1990,11316,1989,"FR","",346250,3,19,8,1,11,0,3,,0.4444,,4,,,,0.6667,0.6667
3950313,1976,5947,1972,"GB","",383755,3,14,525,1,15,4,10,0.5,0.72,0.5,12.4,11.25,0,0,0,0
5279736,1994,12436,1991,"US","PA",321355,2,13,210,1,19,6,2,1,0.5,0.2778,4,9.6667,0,0,0,0
4793573,1988,10588,1987,"US","TX",,1,1,244,5,55,9,0,0.5556,,0.32,,35.2222,,,,
5136403,1992,11904,1991,"GB","",465615,2,7,349,1,19,15,5,1,0.32,0.1244,3.6,6.3333,0,0,0,0
5495971,1996,13213,1994,"US","CA",,1,5,224,6,68,9,1,0.8889,0,0.5938,2,24.2222,,,,
4342887,1982,8250,1980,"US","RI",570160,2,6,200,4,41,11,9,0.7273,0.1975,0.5625,8.1111,14.4545,0,0,0.625,0.5556
4953042,1990,11197,1988,"JP","",87490,3,24,360,2,24,3,15,1,0.4444,0,5.8,3,0,0,0,0
5769799,1998,14053,1997,"US","TX",,1,5,601,3,32,14,0,0.5714,,0.2188,,30.9286,,,,
4418728,1983,8740,1981,"CH","",15660,3,8,139,6,63,3,0,1,,0.4444,,11.3333,0,0,,
5470761,1995,13115,1993,"US","MD",625115,2,15,438,4,46,9,4,1,0.375,0.5185,2.5,4.3333,0,0,0,0
5196937,1993,12135,1991,"JP","",358975,3,4,348,4,49,7,9,1,0.8148,0,2.7778,6,0,0,0.4444,0.4444
3705938,1972,4729,1971,"US","DE",248810,2,,424,3,31,,26,,0.858,,11.8077,,,,0,0
4631709,1986,9853,1984,"US","PA",,1,3,367,2,21,12,4,0.75,0.5,0.6173,9.5,15.0833,,,,
3557037,1971,4036,1966,"US","NJ",,1,,524,1,15,,4,,0.625,,16,,,,,
5112673,1992,11820,1989,"JP","",379340,3,6,428,6,69,2,4,1,0,0.5,6,7.5,0,0,0,0
3510089,1970,3777,1965,"US","FL",,1,,244,5,55,,0,,,,,,,,,
5569799,1996,13451,1995,"US","TX",,1,16,570,1,14,3,0,1,,0,,20.3333,,,,
4341107,1982,8243,1980,"US","CA",592245,2,6,73,4,43,10,27,0.7,0.7407,0.6939,10.8148,14,0.1667,0.1,0,0
3337229,1967,2790,1965,"US","WA",,1,,280,5,55,,2,,0.5,,21,,,,,
4746641,1988,10371,1985,"US","OH",540535,2,5,502,1,19,33,14,1,0.2449,0.7089,6.7857,11.3636,0.3226,0.303,0.7857,0.7857
5243338,1993,12303,1992,"US","AL",497425,2,42,340,2,21,21,7,1,0.449,0.4626,3.4286,10.0476,0,0,0,0
3288459,1966,2524,,"US","NY",,2,,271,5,51,,11,,0.4959,,,,,,,
5079503,1992,11694,1990,"DE","",512710,3,9,324,4,43,4,8,1,0.4063,0,3.625,4.25,0,0,0.25,0.25
3673769,1972,4568,1970,"US","NY",112600,2,,96,1,13,,7,,0.449,,13.8571,,,,0,0
5678528,1997,13808,1995,"US","AL",,1,5,124,5,59,20,0,0.8,,0.1172,,21.65,,,,
4063827,1977,6563,1976,"SE","",50990,3,5,401,1,12,5,3,0.4,0.4444,0.5,16,18.8,0,0,0,0
5530184,1996,13325,1995,"US","IN",441655,2,13,800,3,33,2,0,1,,0,,5.5,1,1,,
4181597,1980,7305,1978,"US","PA",381140,2,11,208,1,19,4,9,0.25,0.4938,0,7.2222,29.25,0,0,0.5556,0.5556
4689815,1987,10098,1985,"US","NJ",706518,2,,379,2,21,9,5,1,0.72,0.5679,8,6.7778,0.3333,0.3333,0.2,0.2
4231106,1980,7606,1978,"US","UT",596125,2,14,702,2,22,6,21,1,0.6848,0.7222,11.381,4.8333,0,0,0.05,0.0476
3173162,1965,1901,,"US","MD",,1,,441,6,69,,5,,0.56,,,,,,,
5849823,1998,14228,1996,"US","TX",153420,2,10,524,1,15,48,0,1,,0.8047,,7.9583,0.2826,0.2708,,
4739414,1988,10336,1986,"US","MI",424040,2,10,358,2,21,1,6,1,0.5,0,6,2,0,0,0,0
4526763,1985,9314,1982,"US","AZ",43435,2,15,423,1,19,8,3,0.375,0.4444,0,14.3333,34.25,0,0,0,0
