"PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD"
4422196,1983,8761,1981,"US","MI",191365,2,7,470,5,59,6,3,0.6667,0.4444,0.375,9.6667,19.1667,0,0,0,0
5453239,1995,13052,1994,"DE","",431490,3,13,264,5,51,7,0,0.7143,,0.56,,33.5714,0,0,,
4690523,1987,10105,1985,"US","NY",309980,2,18,351,3,39,23,0,0.8261,,0.349,,15.6087,0,0,,
3490024,1970,3665,1968,"US","TX",597270,6,,342,2,21,,9,,0.7407,,11.1111,,,,0.1429,0.1111
3157133,1964,1782,,"US","OH",,2,,410,5,55,,4,,0,,,,,,,
4566989,1986,9524,1982,"US","PA",625115,2,8,252,1,19,20,10,0.95,0.54,0.6371,6.8,16.6,0,0,0.3,0.3
4390069,1983,8579,1981,"US","NY",233825,2,1,169,6,69,13,7,0.8462,0.4082,0.6446,7.4286,13.6923,0,0,0,0
5140117,1992,11918,1991,"US","CA",685174,2,6,200,4,41,5,3,1,0.4444,0.32,3.6667,12,0,0,0,0
4349081,1982,8292,1980,"US","PA",,1,13,181,6,69,8,0,0.375,,0.6667,,31.625,,,,
4593141,1986,9650,1985,"US","NJ",186590,2,15,568,1,14,51,2,0.9804,0.5,0.4576,3,9.8627,0.1875,0.1765,0,0
4619263,1986,9797,1985,"US","CA",7400,2,12,606,3,32,7,34,1,0.6522,0.4898,6.4706,7.1429,0,0,0.2,0.1471
4674511,1987,10035,1984,"US","OH",25150,2,4,600,3,32,58,21,0.8448,0.3991,0.5289,8.7619,16.3276,0,0,0,0
4202760,1980,7438,1978,"US","FL",122905,2,18,252,1,19,12,15,1,0.8178,0.4167,7.2,7.75,0,0,0,0
3740809,1973,4925,1971,"CA","",157505,3,,29,5,52,,3,,0.4444,,18.6667,,,,0,0
5584638,1996,13500,1994,"US","CA",185645,2,30,414,5,51,7,1,1,0,0.8163,3,11.1429,0,0,0,0
5769046,1998,14053,1997,"US","VA",597260,6,20,123,5,53,8,0,1,,0.375,,7.75,0.375,0.375,,
5682555,1997,13815,1995,"JP","",,1,10,710,2,22,9,1,1,0,0,2,4.5556,,,,
4254410,1981,7732,1979,"US","MO",449060,2,7,340,2,21,13,8,1,0.4063,0.142,4.375,8.1538,0,0,0,0
5247687,1993,12317,1990,"US","NY",280070,2,23,709,2,22,2,5,1,0.64,0.5,4,9,0,0,0.6,0.6
4913850,1990,11050,1989,"DE","",55665,3,8,588,1,19,10,7,1,0.7755,0.74,4.5714,6.7,0,0,0.1667,0.1429
5614355,1997,13598,1995,"US","NY",160890,2,16,430,1,19,3,3,1,0,0,2.3333,11.3333,0.3333,0.3333,1,1
5542608,1996,13367,1994,"US","VA",703037,2,14,239,5,59,3,1,1,0,0.4444,4,13.3333,0,0,0,0
4763896,1988,10455,1987,"US","MA",,1,21,482,5,59,7,2,0.8571,0,0.5,5.5,21.2857,,,,
5304143,1994,12527,1992,"US","CT",597410,2,37,604,3,32,50,5,0.98,0.32,0.349,3,8.52,0,0,0.2,0.2
5645232,1997,13703,1996,"US","FL",,1,31,241,5,51,9,0,1,,0.7654,,11.7778,,,,
3448249,1969,3441,1965,"US","PA",395180,2,,235,5,59,,2,,0.5,,7,,,,0,0
5326055,1994,12604,1993,"US","IL",139795,2,8,248,6,69,10,4,0.6,0.75,0.2778,1.5,32,0,0,0,0
5613438,1997,13598,1995,"DE","",246180,3,19,101,6,69,5,4,1,0,0,2.25,2.2,0.6,0.6,0.6667,0.5
3458219,1969,3497,1967,"DE","",350745,3,,285,6,67,,8,,0.5313,,19.125,,,,0,0
5784296,1998,14081,1996,"US","CA",460700,2,11,702,2,22,19,0,1,,0.7922,,7.2105,0,0,,
4437443,1984,8845,1981,"DE","",613835,3,9,123,5,53,5,17,0.6,0.3045,0.4444,8.6471,23.8,0.5,0.2,0,0
4302935,1981,8005,1980,"US","CA",,1,10,60,4,45,6,8,0.8333,0.6563,0.72,11.5,9.3333,,,,
5019281,1991,11470,1989,"DE","",104245,2,14,252,1,19,14,4,1,0.375,0.6224,5.5,8.5,0.1429,0.1429,0,0
4758356,1988,10427,1987,"GB","",508865,2,3,507,6,64,10,8,1,0.75,0.58,2.875,11.4,0,0,0,0
4352302,1982,8313,1980,"US","NE",423660,2,9,74,5,59,10,5,0.5,0.64,0,8.2,26.6,0,0,0.2,0.2
3969165,1976,6038,1975,"US","CA",589355,2,15,438,4,46,5,1,1,0,0,15,5.2,0,0,0,0
4122914,1978,6878,1977,"JP","",401200,3,23,181,6,69,3,8,0.6667,0.4063,0.5,8.125,18.6667,0,0,0.25,0.25
5258741,1993,12359,1991,"US","CO",274035,2,44,340,2,21,19,8,0.5789,0.375,0.4628,4.125,36.8421,0,0,0,0
4136199,1979,6962,1977,"US","FL",413555,2,21,423,1,19,6,17,1,0.3945,0.2778,5.2941,10.1667,0,0,0.375,0.3529
5641089,1997,13689,1995,"US","WA",,1,14,220,6,68,27,0,0.7778,,0.5034,,22.6296,,,,
4827451,1989,10714,1987,"FR","",573975,3,13,365,2,24,7,1,1,0,0.5714,6,5.7143,0,0,0,0
4345601,1982,8271,1980,"US","TX",,1,15,606,3,32,5,52,0.6,0.074,0.4444,13.2115,32.6,,,,
4222051,1980,7557,1979,"US","MD",597270,6,3,342,2,21,2,8,1,0.6563,0,9.375,3,0.5,0.5,0.2857,0.25
5366231,1994,12744,1994,"TW","",,1,1,280,5,55,15,11,0.6,0.562,0.716,1.8182,27.6,,,,
5598411,1997,13542,1994,"JP","",395735,3,19,370,2,21,7,3,1,0.4444,0,2.3333,4.5714,0,0,0,0
4280136,1981,7872,1979,"JP","",532110,3,16,348,4,49,3,13,1,0.6982,0.6667,10.8462,8.3333,0,0,0.0833,0.0769
5323775,1994,12597,1991,"US","CA",19170,2,4,600,3,32,23,1,1,0,0.7637,4,7.5652,0.0667,0.0435,0,0
4624381,1986,9825,1985,"DE","",,1,7,220,6,68,9,4,1,0,0.716,4.5,13.8889,,,,
4064815,1977,6570,1976,"US","MO",60370,2,5,108,6,69,7,10,0.2857,0.34,0.5,15.8,31.7143,0,0,0.1111,0.1
5133720,1992,11897,1991,"US","NY",,1,15,606,3,32,9,9,0.7778,0.1975,0,4.5556,15.6667,,,,
4285060,1981,7900,1978,"US","FL",242085,2,15,375,2,21,7,61,1,0.3709,0.6122,14.1803,5.1429,0,0,0.0164,0.0164
5834709,1998,14193,1994,"US","NJ",722326,2,14,178,2,21,12,0,1,,0.7639,,7,0,0,,
4953782,1990,11204,1989,"US","FL",396265,2,37,229,6,68,12,7,0.9167,0.2449,0.3967,3.8571,14,0,0,0,0
3559124,1971,4043,1969,"US","OK",249370,2,,335,4,41,,11,,0.7934,,17.4545,,,,0,0
5848622,1998,14228,1997,"US","CA",737250,2,37,141,5,51,16,0,0.9375,,0.7022,,13.9375,0,0,,
3372213,1968,2986,1964,"JP","",,3,,264,5,51,,6,,0.6667,,19.5,,,,,
5878753,1999,14312,1997,"US","GA",722401,2,,131,6,61,97,0,0.5773,,0.0351,,37.3608,0,0,,
3509810,1970,3777,1966,"DE","",133290,3,,454,5,59,,8,,0.5625,,20.5,,,,0,0
4309799,1982,8047,1979,"JP","",317935,3,4,24,6,63,2,2,0,0.5,,11,71,0,0,0,0
4750817,1988,10392,1986,"US","IL",171695,2,30,359,5,54,5,32,1,0.4102,0,7.0625,8.8,0,0,0,0
5062042,1991,11624,1990,"US","CA",635240,2,12,707,2,22,9,15,1,0.8178,0.7407,4.6,3.3333,0.375,0.3333,0,0
5130748,1992,11883,1990,"JP","",211530,3,13,399,5,54,6,8,1,0.2188,0,2.875,9.8333,0.1667,0.1667,0,0
5360966,1994,12723,1993,"JP","",581270,3,8,219,4,49,12,1,1,0,0.1528,3,8.0833,0,0,0,0
3530772,1970,3924,1968,"JP","",403330,3,,92,5,53,,3,,0.6667,,9.3333,,,,0,0
3597999,1971,4239,1969,"US","MI",204110,2,,475,5,53,,7,,0.2449,,15.4286,,,,0,0
3877799,1975,5583,1974,"CA","",709783,7,8,352,5,54,4,6,1,0.7222,0.625,7.1667,3.75,0,0,0,0
4720953,1988,10252,1986,"JP","",573320,2,11,174,4,41,26,6,0.5,0.6111,0.6982,5.8333,22.7692,0,0,0,0
3864570,1975,5513,1973,"US","NY",,1,8,250,4,44,3,10,1,0.34,0.4444,16.4,4.3333,,,,
5595345,1997,13535,1995,"US","CT",37255,2,25,239,5,59,24,2,0.9583,0.5,0.6049,1.5,19.6667,0,0,1,0.5
4830255,1989,10728,1987,"JP","",637565,3,6,227,5,59,6,0,0.8333,,0.48,,13.5,0.5,0.3333,,
3973264,1976,6059,1975,"US","CT",230855,2,24,346,4,49,4,4,0.5,0.375,0,12.25,11,0,0,0,0
3768866,1973,5051,1972,"DE","",222760,3,,299,6,64,,0,,,,,,,,,
5097991,1992,11771,1990,"AU","",287685,3,11,222,1,19,11,0,1,,0,,15,0,0,,
5108417,1992,11806,1990,"US","NY",279110,2,8,623,3,39,24,38,1,0.7936,0.5417,5.2368,5.7917,0,0,0,0
3233379,1966,2230,,"US","OH",,2,,52,6,69,,3,,0,,,,,,,
5642513,1997,13689,1996,"US","TX",160890,2,7,395,2,22,11,5,1,0.32,0.843,1,5.9091,0.1111,0.0909,0,0
4149298,1979,7046,1977,"US","CA",234550,2,1,24,6,63,4,5,1,0.56,0.75,4.8,9.5,0,0,0,0
5979948,1999,14557,1998,"ES","",559640,3,,292,6,69,12,0,1,,0,,7.1667,0,0,,
5014933,1991,11456,1989,"US","WA",70060,2,13,244,5,55,20,3,0.9,0.4444,0.7778,5,15.7,0.4118,0.35,0,0
5976716,1999,14550,1996,"US","PA",310235,2,,428,6,69,39,0,1,,0.6851,,7.5641,0.0256,0.0256,,
5698302,1997,13864,1995,"US","OH",424125,2,7,428,6,69,35,0,0.9143,,0.7402,,18.1143,0.1154,0.0857,,
5230986,1993,12261,1991,"US","OH",684942,2,9,430,1,19,6,5,1,0.56,0.2778,4.2,9.5,0,0,0,0
5264834,1993,12380,1992,"US","FL",,1,15,340,2,21,7,2,1,0,0.2449,2.5,11.2857,,,,
3675557,1972,4575,1969,"JP","",639825,3,,396,5,54,,10,,0,,13.3,,,,0,0
5611885,1997,13591,1995,"US","WA",625795,2,50,156,1,19,102,2,0.9412,0.5,0.878,2,16.6667,0.131,0.1078,1,0.5
4115331,1978,6836,1977,"JP","",493240,3,10,524,1,15,6,17,0.8333,0.7889,0.56,10.3529,5.3333,0.4,0.3333,0,0
3954732,1976,5968,1973,"JP","",211250,3,19,540,1,14,2,16,1,0.2266,0,7.0625,5,0,0,0.25,0.25
4425018,1984,8775,1981,"DE","",92805,3,12,439,4,41,7,19,0.7143,0.1939,0,10.0526,28.8571,0,0,0,0
