unit,geo\time	2013M01 	2013M02 	2013M03 	2013M04 	2013M05 	2013M06 	2013M07 	2013M08 	2013M09 	2013M10 	2013M11 	2013M12 
PCH_M12_NSA,EU28	-0.5 	-0.1 	-1.0 	-0.4 	1.0 	0.3 	1.0 	0.8 	0.6 	0.2 	1.8 	0.2 s
PCH_M12_NSA,FI	0.5 	-2.3 	1.7 	0.0 	1.6 	0.0 	-0.3 	-0.9 	-0.2 	0.7 	0.2 	-0.6 
PCH_M12_NSA,FR	0.2 	-0.9 	-1.4 	0.4 	0.7 	-1.5 	0.7 	1.0 	0.3 	-0.9 	0.8 	-0.6 
PCH_M12_NSA,HR	1.1 	5.2 	1.8 	4.0 	5.6 	7.4 	3.5 	5.7 	2.2 	-1.0 	0.2 	: cp
PCH_M12_NSA,HU	0.2 	2.8 	-0.3 	3.5 	3.0 	0.9 	3.2 	2.9 	1.2 	2.5 	5.0 	: 
PCH_M12_NSA,IE	1.4 	1.7 	0.9 	-3.0 	-1.0 	1.2 	1.7 	-0.5 	-1.6 	-3.1 	-0.1 	1.3 
PCH_M12_NSA,IT	-3.9 	-2.0 	-3.3 	-2.1 	-1.3 	-1.2 	-2.1 	-0.9 	-2.1 	-2.0 	-0.6 	: c
PCH_M12_NSA,LT	4.5 	5.6 	6.2 	4.3 	7.8 	7.1 	6.3 	5.9 	4.8 	3.2 	4.4 	3.4 
PCH_M12_NSA,LU	16.6 	17.4 	11.6 	16.7 	12.4 	14.3 	9.8 	11.7 	9.1 	9.7 	13.5 e	10.4 e
PCH_M12_NSA,LV	4.2 	4.5 	5.4 	2.2 	4.9 	2.6 	4.2 	2.0 	1.3 	1.8 	4.1 	3.0 
PCH_M12_NSA,MT	0.1 p	4.8 p	4.7 p	-7.0 p	-3.6 p	-3.7 p	9.7 p	1.0 p	-0.3 p	-2.3 p	-3.1 p	-1.1 p
PCH_M12_NSA,NL	-4.9 ps	-2.7 ps	-4.2 ps	-3.4 ps	-2.8 ps	-2.5 ps	-2.2 ps	-2.6 ps	-4.8 ps	-2.8 ps	-1.5 ps	: cps
PCH_M12_NSA,NO	2.9 	2.1 	1.6 	0.7 	2.1 	3.5 	3.0 	2.9 	2.5 	1.5 	2.1 	1.9 
PCH_M12_NSA,PL	3.3 	4.9 	2.0 	2.3 	3.7 	4.5 	5.1 	6.3 	6.4 	4.4 p	6.9 p	6.7 p
PCH_M12_NSA,PT	-4.9 	-7.3 	-5.6 	-2.0 	-2.8 	-1.8 	-0.6 	-0.4 	-2.4 	-1.5 	2.8 	-2.3 
PCH_M12_NSA,RO	7.0 	4.6 	1.0 	3.7 	-3.2 	-0.4 	2.3 	0.6 	-1.3 	0.7 	1.4 	5.5 p
PCH_M12_NSA,SE	1.5 	2.6 	1.7 	-0.1 	1.9 	2.4 	0.4 	1.7 	0.7 	2.4 	3.5 	0.6 
PCH_M12_NSA,SI	-1.8 	0.3 	-3.1 	-2.5 	-0.7 	-0.4 	-3.7 	-2.4 	-4.1 	-1.7 	-1.0 	-0.6 
PCH_M12_NSA,SK	2.2 	1.4 	1.3 	3.0 	3.7 	3.2 	4.0 	1.5 	0.2 	-0.1 p	1.6 p	0.8 p
PCH_M12_NSA,TR	8.3 	8.9 	11.3 	4.2 	6.6 	1.7 	10.6 	15.9 	14.7 	13.0 	11.0 	: 
PCH_M12_NSA,UK	0.0 	2.6 	0.5 	0.0 	2.7 	3.5 	4.4 	3.2 	3.0 	2.5 	3.0 	3.6 
PCH_M1_SA,AT	-0.1 p	0.0 p	-0.5 p	1.2 p	1.9 p	-2.2 p	1.5 p	0.1 p	-0.3 p	-0.5 p	1.6 p	-1.4 p
PCH_M1_SA,BE	0.3 p	-1.7 p	0.4 p	-0.8 p	2.3 p	0.9 p	1.1 p	-1.9 p	-1.7 p	-0.3 p	1.3 p	-0.5 p
PCH_M1_SA,BG	-0.4 	1.0 	1.9 	-0.2 	0.2 	1.3 	0.4 	0.4 	0.6 	0.3 	0.1 	0.3 p
PCH_M1_SA,CH	-0.4 p	-0.2 p	-0.1 p	1.0 p	-0.4 p	0.8 p	-0.8 p	1.3 p	-0.6 p	-0.3 p	2.1 p	: 
PCH_M1_SA,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: cp	: cp	: cp
PCH_M1_SA,CZ	0.6 p	-1.1 p	1.8 p	-3.1 p	1.9 p	-1.8 p	0.8 p	0.9 p	-0.4 p	-1.0 p	2.7 p	-1.0 p
PCH_M1_SA,DE	1.8 p	-0.7 p	-0.2 p	0.3 p	1.0 p	-0.7 p	-0.1 p	0.0 p	0.0 p	-0.4 p	0.9 p	-2.3 p
PCH_M1_SA,DK	-1.6 	1.4 	-0.7 	-1.4 	0.9 	1.0 	-1.0 	-0.3 	0.1 	-1.1 	1.3 	-0.4 p
PCH_M1_SA,EA17	0.4 	-0.2 	-0.1 	-0.1 	1.2 	-0.7 	0.4 	0.4 	-0.7 	-0.4 	0.9 	-1.5 
PCH_M1_SA,EE	1.6 s	-2.0 s	3.2 s	-1.2 s	2.5 s	-3.2 s	1.8 s	0.7 s	-0.8 s	1.9 s	0.6 s	-2.0 s
PCH_M1_SA,EL	-5.3 s	0.3 s	2.1 s	-3.1 s	5.9 s	-3.6 s	-3.4 s	2.8 s	-0.3 s	-0.6 s	0.8 ps	: cps
PCH_M1_SA,ES	0.6 p	1.2 p	-0.9 p	-0.4 p	1.4 p	-0.5 p	0.3 p	3.6 p	-2.6 p	-1.7 p	2.0 p	-3.4 p
PCH_M1_SA,EU15	0.2 	0.2 	-0.1 	-0.4 	1.3 	-0.5 	0.6 	0.2 	-0.4 	-0.5 	0.8 	-0.8 
PCH_M1_SA,EU27	0.4 	0.1 	-0.1 	-0.4 	1.3 	-0.4 	0.6 	0.2 	-0.4 	-0.5 	0.8 	-0.7 s
PCH_M1_SA,EU28	0.4 	0.1 	-0.1 	-0.4 	1.3 	-0.4 	0.6 	0.2 	-0.4 	-0.5 	0.8 	-0.7 s
PCH_M1_SA,FI	-0.4 	-0.7 	2.0 	-2.7 	2.6 	-2.0 	0.6 	-0.1 	1.0 	-0.5 	0.3 	-0.5 
PCH_M1_SA,FR	0.2 	-0.4 	0.1 	-0.1 	1.2 	-1.4 	1.9 	0.0 	-0.8 	-0.5 	0.5 	-0.8 
PCH_M1_SA,HR	0.7 	0.9 	-0.8 	0.5 	1.0 	0.7 	-1.4 	1.1 	-1.8 	-1.8 	0.6 	: cp
PCH_M1_SA,HU	-0.2 s	1.0 s	-0.6 s	1.3 s	0.2 s	-0.5 s	1.1 s	0.4 s	-0.4 s	0.6 s	1.0 s	: 
PCH_M1_SA,IE	0.3 	-0.1 	-0.8 	-0.4 	1.0 	-0.3 	1.2 	-1.0 	-0.6 	0.6 	0.3 	0.9 
PCH_M1_SA,IT	-0.9 s	0.4 s	-0.5 s	0.1 s	0.1 s	-0.1 s	-0.4 s	0.3 s	-0.4 s	-0.2 s	0.3 s	: cs
PCH_M1_SA,LT	-0.1 	0.1 	1.1 	-0.6 	2.6 	-0.3 	0.4 	0.5 	-0.1 	0.0 	0.5 	-0.4 
PCH_M1_SA,LU	-1.1 s	1.2 s	-0.1 s	2.4 s	-0.1 s	1.5 s	0.0 s	1.6 s	0.3 s	1.2 s	1.9 s	0.2 s
PCH_M1_SA,LV	-0.5 	-0.5 	0.9 	-2.5 	2.8 	-0.5 	1.9 	-0.2 	0.2 	-0.1 	1.2 	-0.2 
PCH_M1_SA,MT	0.5 p	3.7 p	-0.3 p	-5.2 p	1.9 p	-0.2 p	0.3 p	0.9 p	-0.5 p	-1.1 p	-0.5 p	0.3 p
PCH_M1_SA,NL	-0.3 ps	-0.5 ps	-0.7 ps	-0.7 ps	0.7 ps	0.4 ps	0.3 ps	-0.6 ps	-0.5 ps	-0.4 ps	0.1 ps	: cps
PCH_M1_SA,NO	0.7 s	0.2 s	0.0 s	-0.5 s	1.5 s	0.2 s	-0.2 s	0.0 s	0.2 s	-0.7 s	0.6 s	0.0 s
PCH_M1_SA,PL	5.0 	-0.4 	-0.5 	-0.1 	1.1 	0.0 	1.4 	0.1 	0.2 	-1.4 p	2.2 p	-0.4 p
PCH_M1_SA,PT	2.0 	-1.1 	0.6 	0.2 	0.6 	0.1 	0.1 	0.7 	-1.5 	-0.7 	3.5 	-5.9 
PCH_M1_SA,RO	4.5 	-2.2 	-0.9 	0.9 	-3.1 	1.7 	2.4 	-0.4 	-0.8 	0.2 	1.3 	0.8 p
PCH_M1_SA,SE	-0.4 s	0.6 s	0.3 s	-1.9 s	1.6 s	0.9 s	-1.3 s	0.6 s	0.1 s	0.0 s	1.2 s	-1.1 s
PCH_M1_SA,SI	2.2 	-1.0 	-1.7 	-0.6 	0.8 	1.5 	-3.1 	3.5 	-3.4 	1.5 	0.3 	-0.3 
PCH_M1_SA,SK	1.2 s	-0.2 s	0.0 s	0.5 s	0.5 s	-0.1 s	0.3 s	-0.6 s	-0.3 s	0.0 ps	0.6 ps	-0.4 ps
PCH_M1_SA,TR	-0.6 	2.2 	1.9 	-1.1 	2.2 	-2.4 	4.7 	4.1 	0.5 	-0.5 	-0.2 	: 
PCH_M1_SA,UK	-0.3 	2.1 	-0.1 	-1.2 	2.0 	0.3 	1.5 	-0.9 	0.7 	-0.8 	0.1 	2.6 
