Pais,Anho,NumPatentes,TotalCitas,MediaCitas,MaxCitas
Venezuela,1994,12,38,3.1666666666666665,11
Venezuela,1995,17,47,2.764705882352941,6
Venezuela,1996,21,54,2.5714285714285716,8
Venezuela,1997,15,27,1.8,6
Venezuela,1998,6,8,1.3333333333333333,2
Venezuela,1999,1,1,1.0,1
Viet,1971,1,4,4.0,4
Viet,1972,1,1,1.0,1
Viet,1973,1,1,1.0,1
Viet,1974,2,3,1.5,2
Viet,1976,1,23,23.0,23
Yemen,1980,1,6,6.0,6
Zambia,1965,2,6,3.0,4
Zambia,1967,1,1,1.0,1
Zambia,1970,1,1,1.0,1
Zambia,1971,1,3,3.0,3
Zambia,1972,1,3,3.0,3
Zambia,1973,1,3,3.0,3
Zimbabwe,1963,2,4,2.0,3
Zimbabwe,1964,1,2,2.0,2
Zimbabwe,1966,1,1,1.0,1
Zimbabwe,1967,2,4,2.0,3
Zimbabwe,1969,2,5,2.5,3
Zimbabwe,1971,3,10,3.3333333333333335,6
Zimbabwe,1974,2,9,4.5,6
Zimbabwe,1976,2,5,2.5,3
Zimbabwe,1977,1,1,1.0,1
Zimbabwe,1978,1,3,3.0,3
Zimbabwe,1980,1,5,5.0,5
Zimbabwe,1983,2,6,3.0,4
Zimbabwe,1986,1,12,12.0,12
Zimbabwe,1988,3,15,5.0,13
Zimbabwe,1989,2,18,9.0,16
Zimbabwe,1991,1,4,4.0,4
Zimbabwe,1993,1,1,1.0,1
Zimbabwe,1994,1,2,2.0,2
Zimbabwe,1996,1,3,3.0,3
